t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
504.00	0	138805	0	9538854912	712.8	26	4
505.00	0	139462	0	9539182592	664.8	26	4
506.01	0	139512	0	9538711552	679.0	26	4
507.01	0	139512	0	9539022848	615.8	26	4
508.01	0	139956	0	9539506176	654.7	26	4
509.02	0	140087	0	9539862528	653.8	26	4
510.02	0	140663	0	9540227072	671.5	26	4
511.03	0	140663	0	9539801088	678.3	26	4
512.03	0	141108	0	9540562944	613.5	26	4
513.03	0	141108	0	9540591616	615.2	26	4
514.04	0	141816	0	9541365760	621.6	26	4
515.04	0	141816	0	9541578752	630.0	26	4
516.05	0	142262	0	9542062080	691.6	26	4
517.05	0	142262	0	9541693440	695.4	26	4
518.05	0	142970	0	9542782976	666.1	26	4
519.06	0	142970	0	9542934528	663.1	26	4
520.06	0	143415	0	9542307840	634.7	26	4
521.06	0	143415	0	9542082560	640.1	26	4
522.07	0	144122	0	9543737344	661.3	26	4
523.07	0	144122	0	9543483392	651.5	26	4
524.08	0	144565	0	9544048640	680.1	26	4
525.08	0	144565	0	9543954432	673.3	26	4
526.08	0	145256	0	9545728000	655.1	26	4
527.09	0	145256	0	9545424896	608.0	26	4
528.09	0	145701	0	9545302016	641.4	26	4
529.10	0	145701	0	9545461760	650.5	26	4
530.10	0	146408	0	9546391552	627.3	26	4
531.10	0	146408	0	9545641984	692.6	26	4
532.11	0	146852	0	9546231808	672.6	26	4
533.11	0	146852	0	9546194944	625.2	26	4
534.12	0	147579	0	9546813440	614.6	26	4
535.12	0	147579	0	9546604544	656.9	26	4
536.12	0	148024	0	9547042816	726.3	26	4
537.13	0	148024	0	9547120640	610.9	26	4
538.13	0	148748	0	9548472320	593.1	26	4
539.14	0	148748	0	9547915264	657.8	26	4
540.14	0	149192	0	9548558336	630.6	26	4
541.14	0	149192	0	9548419072	638.0	26	4
542.15	0	149916	0	9548967936	618.6	26	4
543.15	0	149916	0	9549185024	621.5	26	4
544.16	0	150343	0	9549697024	644.3	26	4
545.16	0	150343	0	9550573568	635.0	26	4
546.16	0	151084	0	9550286848	684.9	26	4
547.17	0	151084	0	9550036992	584.2	26	4
548.17	0	151528	0	9550974976	652.0	26	4
549.18	0	151528	0	9550131200	704.2	26	4
550.18	0	152251	0	9551134720	636.2	26	4
551.18	0	152251	0	9551306752	609.4	26	4
552.19	0	152680	0	9552060416	700.5	26	4
553.19	0	152680	0	9551998976	639.5	26	4
554.20	0	153421	0	9552744448	605.8	26	4
555.20	0	153421	0	9553068032	693.9	26	4
556.20	0	153850	0	9552928768	634.7	26	4
557.21	0	153998	0	9553743872	623.0	26	4
558.21	0	154573	0	9553162240	664.8	26	4
559.22	0	154573	0	9553498112	650.5	26	4
560.22	0	155000	0	9553874944	610.7	26	4
561.22	0	155148	0	9554456576	635.4	26	4
562.23	0	155723	0	9555349504	646.0	26	4
563.23	0	155723	0	9555517440	622.8	26	4
564.24	0	156149	0	9556193280	646.0	26	4
565.24	0	156330	0	9556361216	685.9	26	4
566.24	0	156888	0	9556508672	674.8	26	4
567.25	0	157333	0	9557086208	646.5	26	4
568.25	0	157333	0	9557479424	670.9	26	4
569.26	0	158055	0	9558700032	709.5	26	4
570.26	0	158055	0	9557753856	655.4	26	4
571.26	0	158499	0	9558241280	636.1	26	4
572.27	0	158499	0	9559056384	643.5	26	4
573.27	0	159242	0	9560395776	680.3	26	4
574.28	0	159242	0	9560125440	661.4	26	4
